,filename,gender,sampling_rate,dialect,source,mic_type,librosa_mean,librosa_med,parselmouth_mean,parselmouth_med,pyreaper_mean,pyreaper_med
0,./audio_data/voxforge/lindavg-20081007-ovc/wav/b0452.wav,female,48000,American English,VoxForge,headset mic,136.5979405616324,118.86722456458773,212.13655425992064,203.21391222345446,210.59292602539062,202.9607391357422
1,./audio_data/voxforge/anonymous-20171019-nwf/wav/en-0774.wav,female,48000,American English,VoxForge,laptop built,136.12937284285508,65.0,240.56491568243612,241.95596293210662,226.0935516357422,225.35211181640625
2,./audio_data/voxforge/anonymous-20100604-qub/wav/b0158.wav,female,48000,American English,VoxForge,laptop built,210.93618210488413,218.63306796596578,174.89534317268425,208.91974274179194,149.72872924804688,188.97637939453125
3,./audio_data/voxforge/anonymous-20111230-bqh/wav/a0452.wav,female,48000,American English,VoxForge,laptop built,123.58158178536749,94.07250043362458,175.33924401598182,180.45718978699787,178.19601440429688,188.97637939453125
4,./audio_data/voxforge/anonymous-20081026-ewe/wav/b0537.wav,female,48000,American English,VoxForge,laptop built,167.14706531892185,180.68936857950385,163.33382928767114,178.68008399259185,170.93392944335938,177.77777099609375
5,./audio_data/voxforge/anonymous-20090917-vwy/wav/b0302.wav,female,48000,American English,VoxForge,laptop built,167.5323036538375,159.12696062960518,168.3136403757935,159.15274807365074,168.25982666015625,159.46844482421875
6,./audio_data/voxforge/becz03-20121205-ixj/wav/a0172.wav,female,48000,American English,VoxForge,headset mic,218.2871905167611,208.75994928447787,193.99160716093485,197.8313234452106,177.04054260253906,192.0
7,./audio_data/voxforge/aileen-20080831-dfq/wav/a0401.wav,female,48000,American English,VoxForge,headset mic,165.46304658162032,185.98397121658357,198.38316222197275,194.89021008483036,188.2660369873047,188.97930908203125
8,./audio_data/voxforge/sfauzia-20100731-nyj/wav/b0099.wav,female,48000,American English,VoxForge,laptop built,238.58462671808417,227.65433896553014,224.3747689664598,223.0695768444001,236.55599975585938,224.299072265625
9,./audio_data/voxforge/anonymous-20130226-cyt/wav/b0254.wav,female,48000,American English,VoxForge,headset mic,191.0563408658142,179.64867439581087,180.07229709287984,178.23288777908175,174.40774536132812,177.12176513671875
10,./audio_data/voxforge/anonymous-20160104-sjd/wav/a0150.wav,female,48000,American English,VoxForge,laptop built,239.7237646740877,228.9731271349986,236.35058248771946,226.53071495612488,251.4290008544922,229.66506958007812
11,./audio_data/voxforge/anonymous-20090917-dcv/wav/a0516.wav,female,48000,American English,VoxForge,laptop built,152.4803171403883,138.12913373920566,147.32067825084383,136.78070539274756,148.20179748535156,137.5358123779297
12,./audio_data/voxforge/apdsqueaky-20151112-cmp/wav/b0411.wav,female,48000,American English,VoxForge,usb desktop boom mic,228.2109524738445,216.74784357606865,228.40909017188437,216.9128291453203,225.31317138671875,215.24664306640625
13,./audio_data/voxforge/aileen-20080831-ema/wav/a0371-old1.wav,female,48000,American English,VoxForge,headset mic,176.50790067479178,200.48740730303228,215.57470021227903,209.31707511661367,196.60107421875,200.0
14,./audio_data/voxforge/aileen-20080831-iqs/wav/a0042.wav,female,48000,American English,VoxForge,headset mic,167.09790840785524,193.6580702059513,226.98414279343157,207.61194084536436,217.60096740722656,203.38983154296875
15,./audio_data/voxforge/jlrice9673-20090623-dfl/wav/rb-05.wav,female,48000,American English,VoxForge,headset mic,198.47357587611515,194.7799199939686,196.65048281653318,194.27130456195016,186.89779663085938,192.0
16,./audio_data/voxforge/Melissa-20081211-apn/wav/b0296.wav,female,48000,American English,VoxForge,laptop built,190.20697551554193,189.23491376948436,189.66551618620056,188.31803524005,187.59213256835938,186.7704315185547
17,./audio_data/voxforge/anonymous-20090917-frf/wav/ar-11.wav,female,48000,American English,VoxForge,laptop built,183.93884074164052,179.64867439581087,172.24675566455878,163.56484614048912,166.67147827148438,159.46844482421875
18,./audio_data/voxforge/glendat-20110921-zhl/wav/b0088.wav,female,48000,American English,VoxForge,headset mic,186.68136064787151,177.5852333780714,147.89706438220716,144.0935789728947,152.9113006591797,152.38247680664062
19,./audio_data/voxforge/anonymous-20090415-ocs/wav/b0371.wav,female,48000,American English,VoxForge,headset mic,196.6595368781606,197.04315364635175,181.44691998452578,195.9460493838601,181.91897583007812,193.5483856201172
20,./audio_data/voxforge/anonymous-20090917-tgz/wav/rb-01.wav,female,48000,American English,VoxForge,laptop built,204.31996619806554,202.8169587634771,200.99027655801802,199.88247707564508,198.07009887695312,195.91836547851562
21,./audio_data/voxforge/monapdx-20130329-vsa/wav/a0220.wav,female,48000,American English,VoxForge,usb headset mic,118.91638491228086,65.0,185.1541905124044,183.8309256266357,179.26182556152344,180.4511260986328
22,./audio_data/voxforge/niimarra-20101103-bgi/wav/a0120.wav,female,48000,American English,VoxForge,laptop built,192.80247965421913,180.68936857950385,194.1116924488365,184.30112840482096,190.921142578125,180.4511260986328
23,./audio_data/voxforge/aileen-20080831-dfq/wav/a0396.wav,female,48000,American English,VoxForge,headset mic,163.2279699765573,186.5226683089951,202.5708354995802,195.54791044753256,196.67189025878906,188.23529052734375
24,./audio_data/voxforge/lindavg-20081007-wyi/wav/a0497.wav,female,48000,American English,VoxForge,headset mic,135.4421478318576,65.0,213.15484223641087,211.90399055783263,207.9348907470703,208.69564819335938
25,./audio_data/voxforge/Chandri-20090902-rpp/wav/b0431.wav,female,48000,Canadian English,VoxForge,headset mic,142.3625330104539,151.06592630451914,132.3956486413147,146.71841803947632,162.8305206298828,153.84616088867188
26,./audio_data/voxforge/apdsqueaky-20151112-juc/wav/b0105.wav,female,48000,American English,VoxForge,usb desktop boom mic,228.80437599508207,228.9731271349986,228.26233609682436,228.84603846175753,227.44834899902344,227.4881591796875
27,./audio_data/voxforge/TLC-20091027-ysp/wav/a0028.wav,female,48000,American English,VoxForge,laptop built,165.63538607079448,161.91115193510194,167.52829142454772,165.14571976061416,163.35060119628906,159.2044219970703
28,./audio_data/voxforge/lindavg-20081007-adc/wav/b0136.wav,female,48000,American English,VoxForge,headset mic,126.16219911099903,65.0,204.93574613713665,205.82552583351867,201.9731903076172,204.2553253173828
29,./audio_data/voxforge/anonymous-20090917-lvy/wav/a0409.wav,female,48000,American English,VoxForge,laptop built,167.14247064848212,148.4707041104003,164.9276647798561,146.3228334274972,159.90829467773438,145.01510620117188
30,./audio_data/voxforge/allison-20120707-xik/wav/a0185.wav,female,48000,American English,VoxForge,headset mic,178.59475035294645,174.53442536143424,169.2798108448278,160.92276872719165,153.5236053466797,155.08926391601562
31,./audio_data/voxforge/Anniepoo-20140308-nky/wav/b0078.wav,female,48000,American English,VoxForge,headset mic,142.64489470226093,129.25125509628117,140.68324996540827,127.87242038856274,132.41262817382812,114.28571319580078
32,./audio_data/voxforge/bjb-20120409-cao/wav/b0277.wav,female,48000,Canadian English,VoxForge,desktop boom mic,214.40568202620898,213.63948179230545,212.12657098533813,211.89748723013147,208.97872924804688,209.6069793701172
