,filename,gender,sampling_rate,dialect,source,mic_type,pitch,intonation,f1_diff,f2_diff,duration
0,./audio_data/voxforge/lindavg-20081007-ovc/wav/b0452.wav,female,48000,American English,VoxForge,headset mic,227.87063093107835,81.76069160339563,-13.251472473144531,192.270751953125,3.5
1,./audio_data/voxforge/anonymous-20171019-nwf/wav/en-0774.wav,female,48000,American English,VoxForge,laptop built,295.2050048972561,103.19745327320554,55.99771118164063,64.96162414550781,6.510416666666667
2,./audio_data/voxforge/anonymous-20100604-qub/wav/b0158.wav,female,48000,American English,VoxForge,laptop built,180.3435266458628,82.40864794577864,3.152454376220703,-221.2082061767578,8.75
3,./audio_data/voxforge/anonymous-20111230-bqh/wav/a0452.wav,female,48000,American English,VoxForge,laptop built,186.5901457373604,69.23992384956253,25.505727132161457,-140.41354031032986,8.0
4,./audio_data/voxforge/anonymous-20081026-ewe/wav/b0537.wav,female,48000,American English,VoxForge,laptop built,163.33382928767114,43.92007661539491,18.4544677734375,-46.543375651041664,3.0
5,./audio_data/voxforge/anonymous-20090917-vwy/wav/b0302.wav,female,48000,American English,VoxForge,laptop built,171.89199978493508,49.33515293956737,-10.516204833984377,-74.46905517578125,4.5
6,./audio_data/voxforge/becz03-20121205-ixj/wav/a0172.wav,female,48000,American English,VoxForge,headset mic,206.2779300493389,84.11241366695573,14.509140014648438,86.50360107421875,5.25
7,./audio_data/voxforge/aileen-20080831-dfq/wav/a0401.wav,female,48000,American English,VoxForge,headset mic,215.99841135158877,77.81701007768744,29.996734619140625,-50.47273393110795,3.925333333333333
8,./audio_data/voxforge/sfauzia-20100731-nyj/wav/b0099.wav,female,48000,American English,VoxForge,laptop built,227.93796961675773,57.668219047495946,52.44720458984375,166.46695963541666,4.010666666666666
9,./audio_data/voxforge/anonymous-20130226-cyt/wav/b0254.wav,female,48000,American English,VoxForge,headset mic,187.4460786186173,55.34029734562101,17.190568403764203,13.923794833096592,5.0
10,./audio_data/voxforge/anonymous-20160104-sjd/wav/a0150.wav,female,48000,American English,VoxForge,laptop built,254.0981589036357,66.146371932724,-14.1121337890625,224.1362548828125,6.125
11,./audio_data/voxforge/anonymous-20090917-dcv/wav/a0516.wav,female,48000,American English,VoxForge,laptop built,151.55443251877375,51.23813341612675,-140.66581217447916,-22.18489583333333,3.875
12,./audio_data/voxforge/apdsqueaky-20151112-cmp/wav/b0411.wav,female,48000,American English,VoxForge,usb desktop boom mic,237.68306734843952,68.40473715069376,-5.718485514322917,-13.01288519965278,5.0
13,./audio_data/voxforge/aileen-20080831-ema/wav/a0371-old1.wav,female,48000,American English,VoxForge,headset mic,282.15315413163466,141.25827353246348,-59.40011319247159,28.8162841796875,3.4133333333333336
14,./audio_data/voxforge/aileen-20080831-iqs/wav/a0042.wav,female,48000,American English,VoxForge,headset mic,278.8983959435969,115.12266589158573,-77.21222534179688,101.98287353515624,3.1573333333333333
15,./audio_data/voxforge/jlrice9673-20090623-dfl/wav/rb-05.wav,female,48000,American English,VoxForge,headset mic,204.4303103088321,56.87636124627479,-26.58687540690104,-18.88099365234375,5.75
16,./audio_data/voxforge/Melissa-20081211-apn/wav/b0296.wav,female,48000,American English,VoxForge,laptop built,196.18276967851745,49.49890849203033,-5.642116001674107,-184.11656842912947,5.125
17,./audio_data/voxforge/anonymous-20090917-frf/wav/ar-11.wav,female,48000,American English,VoxForge,laptop built,172.24675566455878,42.15984206783645,41.60820515950521,221.2833251953125,7.625
18,./audio_data/voxforge/glendat-20110921-zhl/wav/b0088.wav,female,48000,American English,VoxForge,headset mic,147.89706438220716,22.73744856761284,115.92139434814452,-108.98486328125,6.0
19,./audio_data/voxforge/anonymous-20090415-ocs/wav/b0371.wav,female,48000,American English,VoxForge,headset mic,195.72703213015373,79.85343945291753,8.076640319824218,-3.751708984375,4.375
20,./audio_data/voxforge/anonymous-20090917-tgz/wav/rb-01.wav,female,48000,American English,VoxForge,laptop built,200.990276558018,48.68556388584373,24.77890014648437,-18.425467936197915,8.5
